node,document_type,count
node-063,mail_receive_receipt,12
node-064,mail_delivery_receipt,8
node-064,mail_receive_receipt,14
node-065,mail_delivery_receipt,35
node-065,mail_receive_receipt,19
node-066,mail_delivery_receipt,10
node-066,mail_receive_receipt,8
node-067,mail_delivery_receipt,11
node-067,mail_receive_receipt,14
node-068,mail_delivery_receipt,4
node-068,mail_receive_receipt,16
node-069,mail_delivery_receipt,13
node-069,mail_receive_receipt,11
node-070,mail_delivery_receipt,28
node-070,mail_receive_receipt,17
node-071,mail_delivery_receipt,36
node-071,mail_receive_receipt,12
node-072,mail_delivery_receipt,18
node-072,mail_receive_receipt,16
node-073,mail_delivery_receipt,4
node-073,mail_receive_receipt,17
node-074,mail_delivery_receipt,29
node-074,mail_receive_receipt,12
node-075,mail_delivery_receipt,32
node-075,mail_receive_receipt,7
node-077,mail_delivery_receipt,63
node-077,mail_receive_receipt,9
node-078,mail_delivery_receipt,20
node-078,mail_receive_receipt,11
node-078,settlement_accepted,1
node-078,settlement_prepared,1
node-079,mail_delivery_receipt,6
node-079,mail_receive_receipt,16
node-082,mail_delivery_receipt,18
node-082,mail_receive_receipt,25
node-083,mail_delivery_receipt,9
node-083,mail_receive_receipt,15
node-083,settlement_accepted,1
node-083,settlement_prepared,1
node-084,mail_delivery_receipt,1
node-084,mail_receive_receipt,3
node-085,mail_delivery_receipt,19
node-085,mail_receive_receipt,6
node-086,mail_delivery_receipt,11
node-086,mail_receive_receipt,9
node-087,mail_delivery_receipt,10
node-087,mail_receive_receipt,16
node-088,mail_delivery_receipt,16
node-088,mail_receive_receipt,21
node-089,mail_delivery_receipt,1
node-090,mail_delivery_receipt,19
node-090,mail_receive_receipt,17
node-091,mail_delivery_receipt,26
node-091,mail_receive_receipt,16
node-092,mail_delivery_receipt,1
node-093,mail_delivery_receipt,13
node-093,mail_receive_receipt,9
node-094,mail_delivery_receipt,32
node-094,mail_receive_receipt,19
node-094,settlement_accepted,1
node-094,settlement_prepared,1
node-095,mail_delivery_receipt,15
node-095,mail_receive_receipt,9
node-096,mail_delivery_receipt,6
node-096,mail_receive_receipt,14
node-097,mail_delivery_receipt,23
node-097,mail_receive_receipt,18
node-098,mail_delivery_receipt,26
node-098,mail_receive_receipt,15
node-099,mail_delivery_receipt,7
node-099,mail_receive_receipt,14
node-100,mail_delivery_receipt,1
node-101,mail_delivery_receipt,6
node-101,mail_receive_receipt,12
node-103,mail_delivery_receipt,13
node-103,mail_receive_receipt,14
node-104,mail_delivery_receipt,18
node-104,mail_receive_receipt,12
node-105,mail_delivery_receipt,34
node-105,mail_receive_receipt,14
node-106,mail_delivery_receipt,2
node-106,mail_receive_receipt,10
node-107,mail_delivery_receipt,16
node-107,mail_receive_receipt,16
node-108,mail_delivery_receipt,16
node-108,mail_receive_receipt,7
node-109,mail_delivery_receipt,2
node-110,mail_delivery_receipt,1
node-111,mail_delivery_receipt,13
node-111,mail_receive_receipt,9
node-112,mail_delivery_receipt,14
node-112,mail_receive_receipt,40
node-113,mail_delivery_receipt,59
node-113,mail_receive_receipt,12
node-114,mail_delivery_receipt,1
node-115,mail_delivery_receipt,21
node-115,mail_receive_receipt,17
node-116,mail_delivery_receipt,7
node-116,mail_receive_receipt,17
node-117,mail_delivery_receipt,29
node-117,mail_receive_receipt,18
node-118,mail_delivery_receipt,14
node-118,mail_receive_receipt,23
node-119,mail_delivery_receipt,8
node-119,mail_receive_receipt,1
node-120,mail_delivery_receipt,25
node-120,mail_receive_receipt,22
node-120,settlement_accepted,1
node-120,settlement_prepared,1
node-121,mail_delivery_receipt,22
node-121,mail_receive_receipt,18
node-122,mail_delivery_receipt,31
node-122,mail_receive_receipt,14
node-122,settlement_accepted,1
node-122,settlement_prepared,1
node-123,mail_delivery_receipt,11
node-123,mail_receive_receipt,16
node-123,settlement_accepted,2
node-123,settlement_prepared,2
node-124,mail_delivery_receipt,11
node-124,mail_receive_receipt,20
node-124,settlement_accepted,1
node-124,settlement_prepared,1
node-125,mail_delivery_receipt,17
node-125,mail_receive_receipt,20
node-125,settlement_accepted,2
node-125,settlement_prepared,2
node-126,mail_delivery_receipt,20
node-126,mail_receive_receipt,18
node-127,mail_delivery_receipt,22
node-127,mail_receive_receipt,21
node-127,settlement_accepted,2
node-127,settlement_prepared,2
node-128,mail_delivery_receipt,19
node-128,mail_receive_receipt,20
node-128,settlement_accepted,1
node-128,settlement_prepared,1
node-129,mail_delivery_receipt,25
node-129,mail_receive_receipt,21
node-130,mail_delivery_receipt,7
node-130,mail_receive_receipt,31
node-130,settlement_accepted,1
node-130,settlement_prepared,1
node-131,mail_delivery_receipt,7
node-131,mail_receive_receipt,11
node-132,mail_delivery_receipt,31
node-132,mail_receive_receipt,17
node-132,settlement_accepted,1
node-132,settlement_prepared,1
node-133,mail_delivery_receipt,18
node-133,mail_receive_receipt,23
node-133,settlement_accepted,2
node-133,settlement_prepared,2
node-134,mail_delivery_receipt,13
node-134,mail_receive_receipt,22
node-134,settlement_accepted,2
node-134,settlement_prepared,2
node-135,mail_delivery_receipt,45
node-135,mail_receive_receipt,19
node-136,mail_delivery_receipt,39
node-136,mail_receive_receipt,12
node-137,mail_delivery_receipt,30
node-137,mail_receive_receipt,17
node-138,mail_delivery_receipt,58
node-138,mail_receive_receipt,22
node-138,settlement_accepted,1
node-138,settlement_prepared,1
node-139,mail_delivery_receipt,29
node-139,mail_receive_receipt,28
node-140,mail_delivery_receipt,25
node-140,mail_receive_receipt,12
node-141,mail_delivery_receipt,37
node-141,mail_receive_receipt,24
node-141,settlement_accepted,1
node-141,settlement_prepared,1
node-142,mail_delivery_receipt,23
node-142,mail_receive_receipt,22
